Abdurhman Bahour,,,,,,,,0,,,,,
Wrap:,TRUE,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,
random seed:,1644449108,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,
Rule:,2.24E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
10,8,1,0.168,0.153846154,0.752510139,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.024,0.076923077,0.163345543,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,11,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment #:,6,,,,,,,,,,,,
Rule:,2.42E+11,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,
0,-,2,0.992,0.923076923,1.824634649,2.038159682,,randomness at begning ends in repeating patter,,,,,0
1,4,2,0.872,0.846153846,1.781461521,1.884313528,,randomness at begning ends in repeating patter,,,,,0
2,9,4,0.792,0.769230769,1.801915307,1.950063756,,edge of chaouts,,,,,1
3,5,3,0.648,0.692307692,1.885451584,1.950063756,,chaous,,,,,2
4,11,3,0.624,0.615384615,1.850288434,1.826245258,,chaous,,,,,2
5,10,3,0.576,0.538461538,1.775260314,1.775858948,,chaous,,,,,2
6,8,2,0.456,0.461538462,1.361145672,1.457265914,,randomness at begning ends in repeating patter,,,,,0
7,3,2,0.376,0.384615385,1.113058224,1.334679141,,randomness at begning ends in repeating patter,,,,,0
8,2,1,0.328,0.307692308,1.06414878,1.198183948,,initial state evloves to a fixed uniform state,,,,,0
9,6,1,0.176,0.230769231,0.79163865,0.991264261,,initial state evloves to a fixed uniform state,,,,,0
10,1,1,0.152,0.153846154,0.660038539,0.773228349,,initial state evloves to a fixed uniform state,,,,,0
11,7,1,0.008,0.076923077,0.067221545,0.391243564,,initial state evloves to a fixed uniform state,,,,,0
12,12,1,0,0,0,0,,initial state evloves to a fixed uniform state,,,,,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
